V2X_MESSAGE_TRANSMISSION;20000000000;180;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20100000000;181;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20200000000;182;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20300000000;183;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20400000000;184;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20500000000;185;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20600000000;186;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20700000000;187;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20800000000;188;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;20900000000;189;veh_0;AutobotMessage
VEHICLE_UPDATES;21000000000;veh_0;52.5122097684269;13.321003808219581;13.680353926364333;150.59999471014495
VEHICLE_UPDATES;21000000000;veh_1;52.51233937601084;13.31975512701454;13.111733173239045;84.71138280285942
V2X_MESSAGE_TRANSMISSION;21000000000;190;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21100000000;191;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21200000000;192;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21300000000;193;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21400000000;194;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21500000000;195;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21600000000;196;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21700000000;197;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21800000000;198;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;21900000000;199;veh_0;AutobotMessage
VEHICLE_UPDATES;22000000000;veh_0;52.512113380450565;13.321121053278912;13.61307111119153;144.75204271752224
VEHICLE_UPDATES;22000000000;veh_1;52.512353636142706;13.319956459613108;13.697547409145628;84.71138280285959
V2X_MESSAGE_TRANSMISSION;22000000000;200;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22100000000;201;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22200000000;202;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22300000000;203;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22400000000;204;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22500000000;205;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22600000000;206;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22700000000;207;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22800000000;208;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;22900000000;209;veh_0;AutobotMessage
VEHICLE_UPDATES;23000000000;veh_0;52.51205101471649;13.32129030755293;13.785460283907597;120.26283249551646
VEHICLE_UPDATES;23000000000;veh_1;52.512367782481114;13.320156190512563;13.588567456856836;84.71138280285942
V2X_MESSAGE_TRANSMISSION;23000000000;210;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23100000000;211;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23200000000;212;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23300000000;213;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23400000000;214;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23500000000;215;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23600000000;216;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23700000000;217;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23800000000;218;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;23900000000;219;veh_0;AutobotMessage
VEHICLE_UPDATES;24000000000;veh_0;52.51199205795833;13.321465262493788;13.836275469730609;120.21386960774589
VEHICLE_UPDATES;24000000000;veh_1;52.51238069648469;13.32033852644806;12.405103842015379;84.71138280285959
V2X_MESSAGE_TRANSMISSION;24000000000;220;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24100000000;221;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24200000000;222;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24300000000;223;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24400000000;224;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24500000000;225;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24600000000;226;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24700000000;227;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24800000000;228;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;24900000000;229;veh_0;AutobotMessage
VEHICLE_UPDATES;25000000000;veh_0;52.511970528084824;13.321655381680502;13.789333314795513;101.50986708452922
VEHICLE_UPDATES;25000000000;veh_1;52.51238146768725;13.320541421383556;13.73100792836398;92.42588453981645
V2X_MESSAGE_TRANSMISSION;25000000000;230;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25100000000;231;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25200000000;232;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25300000000;233;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25400000000;234;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25500000000;235;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25600000000;236;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25700000000;237;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25800000000;238;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;25900000000;239;veh_0;AutobotMessage
VEHICLE_UPDATES;26000000000;veh_0;52.511948819111346;13.321853572073346;13.840428223062773;101.50986708452922
VEHICLE_UPDATES;26000000000;veh_1;52.5123664713425;13.320731135030279;13.212143466153648;109.40529389004598
V2X_MESSAGE_TRANSMISSION;26000000000;240;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26100000000;241;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26200000000;242;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26300000000;243;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26400000000;244;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26500000000;245;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26600000000;246;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26700000000;247;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26800000000;248;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;26900000000;249;veh_0;AutobotMessage
VEHICLE_UPDATES;27000000000;veh_0;52.51196106350575;13.322051163210364;13.662559557342902;85.19583318611556
VEHICLE_UPDATES;27000000000;veh_1;52.51230220141119;13.320914059078705;13.751471110198182;126.59676609646507
V2X_MESSAGE_TRANSMISSION;27000000000;250;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;27100000000;251;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;27200000000;252;veh_0;AutobotMessage
